timestamp, power.draw [W]
2025/05/07 17:57:11.393, 10.76 W
2025/05/07 17:57:11.411, 10.76 W
2025/05/07 17:57:11.421, 10.76 W
2025/05/07 17:57:11.432, 10.76 W
2025/05/07 17:57:11.442, 10.76 W
2025/05/07 17:57:11.452, 10.76 W
2025/05/07 17:57:11.462, 10.76 W
2025/05/07 17:57:11.472, 10.76 W
2025/05/07 17:57:11.482, 10.76 W
2025/05/07 17:57:11.492, 10.76 W
2025/05/07 17:57:11.502, 10.76 W
2025/05/07 17:57:11.512, 10.76 W
2025/05/07 17:57:11.522, 10.79 W
2025/05/07 17:57:11.533, 10.79 W
2025/05/07 17:57:11.543, 10.79 W
2025/05/07 17:57:11.553, 10.79 W
2025/05/07 17:57:11.563, 10.79 W
2025/05/07 17:57:11.573, 10.79 W
2025/05/07 17:57:11.583, 10.79 W
2025/05/07 17:57:11.593, 10.79 W
2025/05/07 17:57:11.603, 10.79 W
2025/05/07 17:57:11.613, 10.79 W
2025/05/07 17:57:11.623, 10.79 W
2025/05/07 17:57:11.633, 10.79 W
2025/05/07 17:57:11.643, 10.79 W
2025/05/07 17:57:11.654, 10.79 W
2025/05/07 17:57:11.664, 10.79 W
2025/05/07 17:57:11.674, 10.79 W
2025/05/07 17:57:11.684, 10.90 W
2025/05/07 17:57:11.694, 10.90 W
2025/05/07 17:57:11.704, 10.90 W
2025/05/07 17:57:11.714, 10.90 W
2025/05/07 17:57:11.724, 10.90 W
2025/05/07 17:57:11.734, 10.90 W
2025/05/07 17:57:11.744, 10.90 W
2025/05/07 17:57:11.754, 10.90 W
2025/05/07 17:57:11.764, 10.90 W
2025/05/07 17:57:11.775, 10.90 W
2025/05/07 17:57:11.785, 10.93 W
2025/05/07 17:57:11.795, 10.93 W
2025/05/07 17:57:11.805, 10.93 W
2025/05/07 17:57:11.815, 10.93 W
2025/05/07 17:57:11.825, 10.93 W
2025/05/07 17:57:11.835, 10.93 W
2025/05/07 17:57:11.845, 10.93 W
2025/05/07 17:57:11.855, 10.93 W
2025/05/07 17:57:11.865, 10.93 W
2025/05/07 17:57:11.876, 10.93 W
2025/05/07 17:57:11.886, 11.02 W
2025/05/07 17:57:11.896, 11.02 W
2025/05/07 17:57:11.906, 11.02 W
2025/05/07 17:57:11.916, 11.02 W
2025/05/07 17:57:11.926, 11.02 W
2025/05/07 17:57:11.936, 11.02 W
2025/05/07 17:57:11.946, 11.02 W
2025/05/07 17:57:11.956, 11.02 W
2025/05/07 17:57:11.966, 11.02 W
2025/05/07 17:57:11.976, 11.68 W
2025/05/07 17:57:11.986, 11.68 W
2025/05/07 17:57:11.996, 11.68 W
2025/05/07 17:57:12.006, 11.68 W
2025/05/07 17:57:12.017, 11.68 W
2025/05/07 17:57:12.027, 11.68 W
2025/05/07 17:57:12.037, 11.68 W
2025/05/07 17:57:12.047, 11.68 W
2025/05/07 17:57:12.057, 11.68 W
2025/05/07 17:57:12.067, 11.68 W
2025/05/07 17:57:12.077, 12.98 W
2025/05/07 17:57:12.087, 12.98 W
2025/05/07 17:57:12.097, 12.98 W
2025/05/07 17:57:12.107, 12.98 W
2025/05/07 17:57:12.117, 12.98 W
2025/05/07 17:57:12.127, 12.98 W
2025/05/07 17:57:12.138, 12.98 W
2025/05/07 17:57:12.148, 12.98 W
2025/05/07 17:57:12.158, 12.98 W
2025/05/07 17:57:12.168, 12.98 W
2025/05/07 17:57:12.178, 14.28 W
2025/05/07 17:57:12.188, 14.28 W
2025/05/07 17:57:12.198, 14.28 W
2025/05/07 17:57:12.208, 14.28 W
2025/05/07 17:57:12.218, 14.28 W
2025/05/07 17:57:12.228, 14.28 W
2025/05/07 17:57:12.238, 14.28 W
2025/05/07 17:57:12.248, 14.28 W
2025/05/07 17:57:12.259, 14.28 W
2025/05/07 17:57:12.269, 14.28 W
2025/05/07 17:57:12.279, 15.59 W
2025/05/07 17:57:12.289, 15.59 W
2025/05/07 17:57:12.299, 15.59 W
2025/05/07 17:57:12.309, 15.59 W
2025/05/07 17:57:12.319, 15.59 W
2025/05/07 17:57:12.329, 15.59 W
2025/05/07 17:57:12.339, 15.59 W
2025/05/07 17:57:12.349, 15.59 W
2025/05/07 17:57:12.359, 15.59 W
2025/05/07 17:57:12.369, 15.59 W
2025/05/07 17:57:12.380, 16.90 W
2025/05/07 17:57:12.390, 16.90 W
2025/05/07 17:57:12.400, 16.90 W
2025/05/07 17:57:12.410, 16.90 W
2025/05/07 17:57:12.420, 16.90 W
2025/05/07 17:57:12.430, 16.90 W
2025/05/07 17:57:12.440, 16.90 W
2025/05/07 17:57:12.450, 16.90 W
2025/05/07 17:57:12.460, 16.90 W
2025/05/07 17:57:12.470, 16.90 W
2025/05/07 17:57:12.480, 18.22 W
2025/05/07 17:57:12.491, 18.22 W
2025/05/07 17:57:12.501, 18.22 W
2025/05/07 17:57:12.511, 18.22 W
2025/05/07 17:57:12.521, 18.22 W
2025/05/07 17:57:12.531, 18.22 W
2025/05/07 17:57:12.541, 18.22 W
2025/05/07 17:57:12.551, 18.22 W
2025/05/07 17:57:12.561, 18.22 W
2025/05/07 17:57:12.571, 18.22 W
2025/05/07 17:57:12.581, 19.52 W
2025/05/07 17:57:12.591, 19.52 W
2025/05/07 17:57:12.602, 19.52 W
2025/05/07 17:57:12.612, 19.52 W
2025/05/07 17:57:12.622, 19.52 W
2025/05/07 17:57:12.632, 19.52 W
2025/05/07 17:57:12.642, 19.52 W
2025/05/07 17:57:12.652, 19.52 W
2025/05/07 17:57:12.662, 19.52 W
2025/05/07 17:57:12.672, 19.52 W
2025/05/07 17:57:12.682, 20.73 W
2025/05/07 17:57:12.692, 20.73 W
2025/05/07 17:57:12.702, 20.73 W
2025/05/07 17:57:12.713, 20.73 W
2025/05/07 17:57:12.723, 20.73 W
2025/05/07 17:57:12.733, 20.73 W
2025/05/07 17:57:12.743, 20.73 W
2025/05/07 17:57:12.753, 20.73 W
2025/05/07 17:57:12.763, 20.73 W
2025/05/07 17:57:12.773, 20.73 W
2025/05/07 17:57:12.783, 22.01 W
2025/05/07 17:57:12.793, 22.01 W
2025/05/07 17:57:12.803, 22.01 W
2025/05/07 17:57:12.813, 22.01 W
2025/05/07 17:57:12.823, 22.01 W
2025/05/07 17:57:12.834, 22.01 W
2025/05/07 17:57:12.844, 22.01 W
2025/05/07 17:57:12.854, 22.01 W
2025/05/07 17:57:12.864, 22.01 W
2025/05/07 17:57:12.874, 22.01 W
2025/05/07 17:57:12.884, 23.32 W
2025/05/07 17:57:12.894, 23.32 W
2025/05/07 17:57:12.904, 23.32 W
2025/05/07 17:57:12.914, 23.32 W
2025/05/07 17:57:12.924, 23.32 W
2025/05/07 17:57:12.934, 23.32 W
2025/05/07 17:57:12.944, 23.32 W
2025/05/07 17:57:12.955, 23.32 W
2025/05/07 17:57:12.965, 23.32 W
2025/05/07 17:57:12.975, 23.32 W
2025/05/07 17:57:12.985, 24.56 W
2025/05/07 17:57:12.995, 24.56 W
2025/05/07 17:57:13.005, 24.56 W
2025/05/07 17:57:13.015, 24.56 W
2025/05/07 17:57:13.025, 24.56 W
2025/05/07 17:57:13.035, 24.56 W
2025/05/07 17:57:13.045, 24.56 W
2025/05/07 17:57:13.055, 24.56 W
2025/05/07 17:57:13.066, 24.56 W
2025/05/07 17:57:13.076, 24.56 W
2025/05/07 17:57:13.086, 25.21 W
2025/05/07 17:57:13.096, 25.21 W
2025/05/07 17:57:13.106, 25.21 W
2025/05/07 17:57:13.116, 25.21 W
2025/05/07 17:57:13.126, 25.21 W
2025/05/07 17:57:13.136, 25.21 W
2025/05/07 17:57:13.146, 25.21 W
2025/05/07 17:57:13.156, 25.21 W
2025/05/07 17:57:13.166, 25.21 W
