timestamp, power.draw [W]
2025/05/07 17:55:22.986, 10.79 W
2025/05/07 17:55:23.003, 10.79 W
2025/05/07 17:55:23.013, 10.78 W
2025/05/07 17:55:23.023, 10.78 W
2025/05/07 17:55:23.033, 10.78 W
2025/05/07 17:55:23.043, 10.78 W
2025/05/07 17:55:23.053, 10.78 W
2025/05/07 17:55:23.063, 10.78 W
2025/05/07 17:55:23.073, 10.78 W
2025/05/07 17:55:23.084, 10.78 W
2025/05/07 17:55:23.094, 10.78 W
2025/05/07 17:55:23.104, 10.78 W
2025/05/07 17:55:23.114, 10.82 W
2025/05/07 17:55:23.124, 10.82 W
2025/05/07 17:55:23.134, 10.82 W
2025/05/07 17:55:23.144, 10.82 W
2025/05/07 17:55:23.154, 10.82 W
2025/05/07 17:55:23.164, 10.82 W
2025/05/07 17:55:23.175, 10.82 W
2025/05/07 17:55:23.185, 10.82 W
2025/05/07 17:55:23.195, 10.82 W
2025/05/07 17:55:23.205, 10.82 W
2025/05/07 17:55:23.215, 10.82 W
2025/05/07 17:55:23.225, 10.82 W
2025/05/07 17:55:23.235, 10.82 W
2025/05/07 17:55:23.245, 10.82 W
2025/05/07 17:55:23.255, 10.82 W
2025/05/07 17:55:23.265, 10.88 W
2025/05/07 17:55:23.276, 10.88 W
2025/05/07 17:55:23.286, 10.88 W
2025/05/07 17:55:23.296, 10.88 W
2025/05/07 17:55:23.306, 10.88 W
2025/05/07 17:55:23.316, 10.88 W
2025/05/07 17:55:23.326, 10.88 W
2025/05/07 17:55:23.336, 10.88 W
2025/05/07 17:55:23.346, 10.88 W
2025/05/07 17:55:23.356, 10.88 W
2025/05/07 17:55:23.366, 10.88 W
2025/05/07 17:55:23.376, 10.88 W
2025/05/07 17:55:23.387, 10.88 W
2025/05/07 17:55:23.397, 10.88 W
2025/05/07 17:55:23.407, 10.88 W
2025/05/07 17:55:23.417, 10.88 W
2025/05/07 17:55:23.427, 10.88 W
2025/05/07 17:55:23.437, 10.88 W
2025/05/07 17:55:23.447, 10.88 W
2025/05/07 17:55:23.457, 10.88 W
2025/05/07 17:55:23.467, 10.91 W
2025/05/07 17:55:23.477, 10.91 W
2025/05/07 17:55:23.487, 10.91 W
2025/05/07 17:55:23.498, 10.91 W
2025/05/07 17:55:23.508, 10.91 W
2025/05/07 17:55:23.518, 10.91 W
2025/05/07 17:55:23.528, 10.91 W
2025/05/07 17:55:23.538, 10.91 W
2025/05/07 17:55:23.548, 10.91 W
2025/05/07 17:55:23.558, 10.91 W
2025/05/07 17:55:23.568, 11.01 W
2025/05/07 17:55:23.578, 11.01 W
2025/05/07 17:55:23.588, 11.01 W
2025/05/07 17:55:23.598, 11.01 W
2025/05/07 17:55:23.609, 11.01 W
2025/05/07 17:55:23.619, 11.01 W
2025/05/07 17:55:23.629, 11.01 W
2025/05/07 17:55:23.639, 11.01 W
2025/05/07 17:55:23.649, 11.01 W
2025/05/07 17:55:23.659, 11.01 W
2025/05/07 17:55:23.669, 12.18 W
2025/05/07 17:55:23.679, 12.18 W
2025/05/07 17:55:23.689, 12.18 W
2025/05/07 17:55:23.699, 12.18 W
2025/05/07 17:55:23.709, 12.18 W
2025/05/07 17:55:23.720, 12.18 W
2025/05/07 17:55:23.730, 12.18 W
2025/05/07 17:55:23.740, 12.18 W
2025/05/07 17:55:23.750, 12.18 W
2025/05/07 17:55:23.760, 13.52 W
2025/05/07 17:55:23.770, 13.52 W
2025/05/07 17:55:23.780, 13.52 W
2025/05/07 17:55:23.790, 13.52 W
2025/05/07 17:55:23.800, 13.52 W
2025/05/07 17:55:23.810, 13.52 W
2025/05/07 17:55:23.820, 13.52 W
2025/05/07 17:55:23.831, 13.52 W
2025/05/07 17:55:23.841, 13.52 W
2025/05/07 17:55:23.851, 13.52 W
2025/05/07 17:55:23.861, 14.85 W
2025/05/07 17:55:23.871, 14.85 W
2025/05/07 17:55:23.881, 14.85 W
2025/05/07 17:55:23.891, 14.85 W
2025/05/07 17:55:23.901, 14.85 W
2025/05/07 17:55:23.911, 14.85 W
2025/05/07 17:55:23.921, 14.85 W
2025/05/07 17:55:23.931, 14.85 W
2025/05/07 17:55:23.942, 14.85 W
2025/05/07 17:55:23.952, 14.85 W
2025/05/07 17:55:23.962, 16.17 W
2025/05/07 17:55:23.972, 16.17 W
2025/05/07 17:55:23.982, 16.17 W
2025/05/07 17:55:23.992, 16.17 W
2025/05/07 17:55:24.002, 16.17 W
2025/05/07 17:55:24.012, 16.17 W
2025/05/07 17:55:24.022, 16.17 W
2025/05/07 17:55:24.032, 16.17 W
2025/05/07 17:55:24.043, 16.17 W
2025/05/07 17:55:24.053, 16.17 W
2025/05/07 17:55:24.063, 17.49 W
2025/05/07 17:55:24.073, 17.49 W
2025/05/07 17:55:24.083, 17.49 W
2025/05/07 17:55:24.093, 17.49 W
2025/05/07 17:55:24.103, 17.49 W
2025/05/07 17:55:24.113, 17.49 W
2025/05/07 17:55:24.123, 17.49 W
