timestamp, power.draw [W]
2025/05/07 17:53:14.281, 21.25 W
2025/05/07 17:53:14.291, 21.25 W
2025/05/07 17:53:14.302, 22.55 W
2025/05/07 17:53:14.312, 22.55 W
2025/05/07 17:53:14.322, 22.55 W
2025/05/07 17:53:14.332, 22.55 W
2025/05/07 17:53:14.342, 22.55 W
2025/05/07 17:53:14.352, 22.55 W
2025/05/07 17:53:14.362, 22.55 W
2025/05/07 17:53:14.372, 22.55 W
2025/05/07 17:53:14.382, 22.55 W
2025/05/07 17:53:14.392, 22.55 W
2025/05/07 17:53:14.402, 24.65 W
2025/05/07 17:53:14.413, 24.65 W
2025/05/07 17:53:14.423, 24.65 W
2025/05/07 17:53:14.433, 24.65 W
2025/05/07 17:53:14.443, 24.65 W
2025/05/07 17:53:14.453, 24.65 W
2025/05/07 17:53:14.463, 24.65 W
2025/05/07 17:53:14.473, 24.65 W
2025/05/07 17:53:14.483, 24.65 W
2025/05/07 17:53:14.493, 24.65 W
2025/05/07 17:53:14.503, 27.64 W
2025/05/07 17:53:14.513, 27.64 W
2025/05/07 17:53:14.524, 27.64 W
2025/05/07 17:53:14.534, 27.64 W
2025/05/07 17:53:14.544, 27.64 W
2025/05/07 17:53:14.554, 27.64 W
2025/05/07 17:53:14.564, 27.64 W
2025/05/07 17:53:14.574, 27.64 W
2025/05/07 17:53:14.584, 27.64 W
2025/05/07 17:53:14.594, 27.64 W
2025/05/07 17:53:14.604, 31.65 W
2025/05/07 17:53:14.614, 31.65 W
2025/05/07 17:53:14.624, 31.65 W
2025/05/07 17:53:14.634, 31.65 W
2025/05/07 17:53:14.645, 31.65 W
2025/05/07 17:53:14.655, 31.65 W
2025/05/07 17:53:14.665, 31.65 W
2025/05/07 17:53:14.675, 31.65 W
2025/05/07 17:53:14.685, 31.65 W
2025/05/07 17:53:14.695, 31.65 W
2025/05/07 17:53:14.705, 35.79 W
2025/05/07 17:53:14.715, 35.79 W
2025/05/07 17:53:14.725, 35.79 W
2025/05/07 17:53:14.735, 35.79 W
2025/05/07 17:53:14.745, 35.79 W
2025/05/07 17:53:14.756, 35.79 W
2025/05/07 17:53:14.766, 35.79 W
2025/05/07 17:53:14.776, 35.79 W
2025/05/07 17:53:14.786, 35.79 W
2025/05/07 17:53:14.796, 35.79 W
2025/05/07 17:53:14.806, 40.09 W
2025/05/07 17:53:14.816, 40.09 W
2025/05/07 17:53:14.826, 40.09 W
2025/05/07 17:53:14.836, 40.09 W
2025/05/07 17:53:14.846, 40.09 W
2025/05/07 17:53:14.856, 40.09 W
2025/05/07 17:53:14.867, 40.09 W
2025/05/07 17:53:14.877, 40.09 W
2025/05/07 17:53:14.887, 40.09 W
2025/05/07 17:53:14.897, 40.09 W
2025/05/07 17:53:14.907, 44.57 W
2025/05/07 17:53:14.917, 44.57 W
2025/05/07 17:53:14.927, 44.57 W
2025/05/07 17:53:14.937, 44.57 W
2025/05/07 17:53:14.947, 44.57 W
2025/05/07 17:53:14.957, 44.57 W
2025/05/07 17:53:14.967, 44.57 W
2025/05/07 17:53:14.978, 44.57 W
2025/05/07 17:53:14.988, 44.57 W
2025/05/07 17:53:14.998, 44.57 W
2025/05/07 17:53:15.008, 49.11 W
2025/05/07 17:53:15.018, 49.11 W
2025/05/07 17:53:15.028, 49.11 W
2025/05/07 17:53:15.038, 49.11 W
2025/05/07 17:53:15.048, 49.11 W
2025/05/07 17:53:15.058, 49.11 W
2025/05/07 17:53:15.068, 49.11 W
2025/05/07 17:53:15.078, 49.11 W
2025/05/07 17:53:15.088, 49.11 W
2025/05/07 17:53:15.098, 49.11 W
2025/05/07 17:53:15.109, 53.65 W
2025/05/07 17:53:15.119, 53.65 W
2025/05/07 17:53:15.129, 53.65 W
2025/05/07 17:53:15.139, 53.65 W
2025/05/07 17:53:15.149, 53.65 W
2025/05/07 17:53:15.159, 53.65 W
2025/05/07 17:53:15.169, 53.65 W
2025/05/07 17:53:15.179, 53.65 W
2025/05/07 17:53:15.189, 53.65 W
2025/05/07 17:53:15.199, 53.65 W
2025/05/07 17:53:15.209, 58.20 W
2025/05/07 17:53:15.220, 58.20 W
2025/05/07 17:53:15.230, 58.20 W
2025/05/07 17:53:15.240, 58.20 W
2025/05/07 17:53:15.250, 58.20 W
2025/05/07 17:53:15.260, 58.20 W
2025/05/07 17:53:15.270, 58.20 W
2025/05/07 17:53:15.280, 58.20 W
2025/05/07 17:53:15.290, 58.20 W
2025/05/07 17:53:15.300, 58.20 W
2025/05/07 17:53:15.310, 62.74 W
2025/05/07 17:53:15.320, 62.74 W
2025/05/07 17:53:15.330, 62.74 W
2025/05/07 17:53:15.341, 62.74 W
2025/05/07 17:53:15.351, 62.74 W
2025/05/07 17:53:15.361, 62.74 W
2025/05/07 17:53:15.371, 62.74 W
2025/05/07 17:53:15.381, 62.74 W
2025/05/07 17:53:15.391, 62.74 W
2025/05/07 17:53:15.401, 67.29 W
2025/05/07 17:53:15.411, 67.29 W
2025/05/07 17:53:15.421, 67.29 W
2025/05/07 17:53:15.431, 67.29 W
2025/05/07 17:53:15.441, 67.29 W
2025/05/07 17:53:15.451, 67.29 W
2025/05/07 17:53:15.462, 67.29 W
2025/05/07 17:53:15.472, 67.29 W
2025/05/07 17:53:15.482, 67.29 W
2025/05/07 17:53:15.492, 67.29 W
2025/05/07 17:53:15.502, 71.00 W
2025/05/07 17:53:15.512, 71.00 W
2025/05/07 17:53:15.522, 71.00 W
2025/05/07 17:53:15.532, 71.00 W
2025/05/07 17:53:15.542, 71.00 W
2025/05/07 17:53:15.552, 71.00 W
2025/05/07 17:53:15.562, 71.00 W
2025/05/07 17:53:15.572, 71.00 W
2025/05/07 17:53:15.583, 71.00 W
2025/05/07 17:53:15.593, 71.00 W
2025/05/07 17:53:15.603, 73.77 W
2025/05/07 17:53:15.613, 73.77 W
2025/05/07 17:53:15.623, 73.77 W
2025/05/07 17:53:15.633, 73.77 W
2025/05/07 17:53:15.643, 73.77 W
2025/05/07 17:53:15.653, 73.77 W
2025/05/07 17:53:15.663, 73.77 W
2025/05/07 17:53:15.673, 73.77 W
2025/05/07 17:53:15.683, 73.77 W
2025/05/07 17:53:15.693, 73.77 W
2025/05/07 17:53:15.704, 74.45 W
2025/05/07 17:53:15.714, 74.45 W
2025/05/07 17:53:15.724, 74.45 W
2025/05/07 17:53:15.734, 74.45 W
2025/05/07 17:53:15.744, 74.45 W
2025/05/07 17:53:15.754, 74.45 W
2025/05/07 17:53:15.764, 74.45 W
2025/05/07 17:53:15.774, 74.45 W
2025/05/07 17:53:15.784, 74.45 W
2025/05/07 17:53:15.794, 74.45 W
2025/05/07 17:53:15.804, 74.85 W
2025/05/07 17:53:15.815, 74.85 W
2025/05/07 17:53:15.825, 74.85 W
2025/05/07 17:53:15.835, 74.85 W
2025/05/07 17:53:15.845, 74.85 W
2025/05/07 17:53:15.855, 74.85 W
2025/05/07 17:53:15.865, 74.85 W
2025/05/07 17:53:15.875, 74.85 W
2025/05/07 17:53:15.885, 74.85 W
2025/05/07 17:53:15.895, 74.85 W
2025/05/07 17:53:15.905, 75.09 W
2025/05/07 17:53:15.915, 75.09 W
2025/05/07 17:53:15.925, 75.09 W
2025/05/07 17:53:15.936, 75.09 W
2025/05/07 17:53:15.946, 75.09 W
2025/05/07 17:53:15.956, 75.09 W
2025/05/07 17:53:15.966, 75.09 W
2025/05/07 17:53:15.976, 75.09 W
2025/05/07 17:53:15.986, 75.09 W
2025/05/07 17:53:15.996, 75.09 W
2025/05/07 17:53:16.006, 75.16 W
2025/05/07 17:53:16.016, 75.16 W
2025/05/07 17:53:16.026, 75.16 W
2025/05/07 17:53:16.037, 75.16 W
2025/05/07 17:53:16.047, 75.16 W
2025/05/07 17:53:16.057, 75.16 W
2025/05/07 17:53:16.067, 75.16 W
2025/05/07 17:53:16.077, 75.16 W
2025/05/07 17:53:16.087, 75.16 W
2025/05/07 17:53:16.097, 75.16 W
2025/05/07 17:53:16.107, 75.18 W
2025/05/07 17:53:16.117, 75.18 W
2025/05/07 17:53:16.127, 75.18 W
2025/05/07 17:53:16.137, 75.18 W
2025/05/07 17:53:16.147, 75.18 W
2025/05/07 17:53:16.158, 75.18 W
2025/05/07 17:53:16.168, 75.18 W
2025/05/07 17:53:16.178, 75.18 W
2025/05/07 17:53:16.188, 75.18 W
2025/05/07 17:53:16.198, 75.18 W
2025/05/07 17:53:16.208, 75.20 W
2025/05/07 17:53:16.218, 75.20 W
2025/05/07 17:53:16.228, 75.20 W
2025/05/07 17:53:16.238, 75.20 W
2025/05/07 17:53:16.248, 75.20 W
2025/05/07 17:53:16.258, 75.20 W
2025/05/07 17:53:16.268, 75.20 W
2025/05/07 17:53:16.278, 75.20 W
2025/05/07 17:53:16.289, 75.20 W
2025/05/07 17:53:16.299, 75.20 W
2025/05/07 17:53:16.309, 75.21 W
2025/05/07 17:53:16.319, 75.21 W
2025/05/07 17:53:16.329, 75.21 W
2025/05/07 17:53:16.339, 75.21 W
2025/05/07 17:53:16.349, 75.21 W
