timestamp, power.draw [W]
2025/05/07 17:59:07.316, 10.69 W
2025/05/07 17:59:07.330, 10.69 W
2025/05/07 17:59:07.340, 10.69 W
2025/05/07 17:59:07.350, 10.69 W
2025/05/07 17:59:07.360, 10.69 W
2025/05/07 17:59:07.370, 10.69 W
2025/05/07 17:59:07.380, 10.69 W
2025/05/07 17:59:07.390, 10.69 W
2025/05/07 17:59:07.401, 10.69 W
2025/05/07 17:59:07.411, 10.69 W
2025/05/07 17:59:07.421, 10.69 W
2025/05/07 17:59:07.431, 10.69 W
2025/05/07 17:59:07.441, 10.73 W
2025/05/07 17:59:07.451, 10.73 W
2025/05/07 17:59:07.461, 10.73 W
2025/05/07 17:59:07.471, 10.73 W
2025/05/07 17:59:07.481, 10.73 W
2025/05/07 17:59:07.492, 10.73 W
2025/05/07 17:59:07.502, 10.73 W
2025/05/07 17:59:07.512, 10.73 W
2025/05/07 17:59:07.522, 10.73 W
2025/05/07 17:59:07.532, 10.73 W
2025/05/07 17:59:07.542, 10.73 W
2025/05/07 17:59:07.552, 10.73 W
2025/05/07 17:59:07.562, 10.73 W
2025/05/07 17:59:07.572, 10.73 W
2025/05/07 17:59:07.583, 10.79 W
2025/05/07 17:59:07.593, 10.79 W
2025/05/07 17:59:07.603, 10.79 W
2025/05/07 17:59:07.613, 10.79 W
2025/05/07 17:59:07.623, 10.79 W
2025/05/07 17:59:07.633, 10.79 W
2025/05/07 17:59:07.643, 10.79 W
2025/05/07 17:59:07.653, 10.79 W
2025/05/07 17:59:07.664, 10.79 W
2025/05/07 17:59:07.674, 10.79 W
2025/05/07 17:59:07.684, 10.80 W
2025/05/07 17:59:07.694, 10.80 W
2025/05/07 17:59:07.704, 10.80 W
2025/05/07 17:59:07.714, 10.80 W
2025/05/07 17:59:07.724, 10.80 W
2025/05/07 17:59:07.734, 10.80 W
2025/05/07 17:59:07.744, 10.80 W
2025/05/07 17:59:07.754, 10.80 W
2025/05/07 17:59:07.765, 10.80 W
2025/05/07 17:59:07.775, 10.80 W
2025/05/07 17:59:07.785, 10.82 W
2025/05/07 17:59:07.795, 10.82 W
2025/05/07 17:59:07.805, 10.82 W
2025/05/07 17:59:07.815, 10.82 W
2025/05/07 17:59:07.825, 10.82 W
2025/05/07 17:59:07.835, 10.82 W
2025/05/07 17:59:07.845, 10.82 W
2025/05/07 17:59:07.855, 10.82 W
2025/05/07 17:59:07.865, 10.82 W
2025/05/07 17:59:07.876, 10.82 W
2025/05/07 17:59:07.886, 10.90 W
2025/05/07 17:59:07.896, 10.90 W
