timestamp, power.draw [W]
2025/04/21 18:33:22.304, 26.22 W
2025/04/21 18:33:22.315, 26.22 W
2025/04/21 18:33:22.325, 26.22 W
2025/04/21 18:33:22.335, 26.22 W
2025/04/21 18:33:22.345, 26.22 W
2025/04/21 18:33:22.355, 26.22 W
2025/04/21 18:33:22.365, 26.22 W
2025/04/21 18:33:22.376, 26.22 W
2025/04/21 18:33:22.386, 26.22 W
2025/04/21 18:33:22.396, 26.22 W
2025/04/21 18:33:22.406, 26.22 W
2025/04/21 18:33:22.417, 26.22 W
2025/04/21 18:33:22.427, 26.22 W
2025/04/21 18:33:22.437, 26.22 W
2025/04/21 18:33:22.447, 26.22 W
2025/04/21 18:33:22.457, 26.22 W
2025/04/21 18:33:22.468, 26.22 W
2025/04/21 18:33:22.479, 26.22 W
2025/04/21 18:33:22.489, 26.22 W
2025/04/21 18:33:22.499, 26.22 W
2025/04/21 18:33:22.509, 26.22 W
2025/04/21 18:33:22.519, 26.22 W
2025/04/21 18:33:22.530, 26.22 W
2025/04/21 18:33:22.540, 26.22 W
2025/04/21 18:33:22.550, 26.22 W
2025/04/21 18:33:22.560, 26.22 W
2025/04/21 18:33:22.570, 26.22 W
2025/04/21 18:33:22.580, 26.22 W
2025/04/21 18:33:22.590, 26.22 W
2025/04/21 18:33:22.600, 26.22 W
2025/04/21 18:33:22.611, 26.22 W
2025/04/21 18:33:22.621, 26.22 W
2025/04/21 18:33:22.631, 26.22 W
2025/04/21 18:33:22.641, 26.22 W
2025/04/21 18:33:22.651, 26.22 W
2025/04/21 18:33:22.661, 26.22 W
2025/04/21 18:33:22.671, 26.22 W
2025/04/21 18:33:22.682, 26.22 W
2025/04/21 18:33:22.692, 26.22 W
2025/04/21 18:33:22.702, 26.22 W
2025/04/21 18:33:22.712, 26.22 W
2025/04/21 18:33:22.722, 26.22 W
2025/04/21 18:33:22.732, 26.73 W
2025/04/21 18:33:22.747, 26.73 W
2025/04/21 18:33:22.771, 27.55 W
2025/04/21 18:33:22.781, 27.55 W
2025/04/21 18:33:22.791, 27.55 W
2025/04/21 18:33:22.802, 27.55 W
2025/04/21 18:33:22.812, 27.55 W
2025/04/21 18:33:22.822, 27.55 W
2025/04/21 18:33:22.832, 27.55 W
2025/04/21 18:33:22.842, 27.55 W
2025/04/21 18:33:22.852, 27.55 W
2025/04/21 18:33:22.862, 27.55 W
2025/04/21 18:33:22.872, 32.86 W
2025/04/21 18:33:22.882, 32.86 W
2025/04/21 18:33:22.893, 32.86 W
2025/04/21 18:33:22.903, 32.86 W
2025/04/21 18:33:22.913, 32.86 W
2025/04/21 18:33:22.923, 32.86 W
2025/04/21 18:33:22.933, 32.86 W
2025/04/21 18:33:22.943, 32.86 W
2025/04/21 18:33:22.953, 32.86 W
2025/04/21 18:33:22.964, 32.86 W
2025/04/21 18:33:22.974, 37.77 W
2025/04/21 18:33:22.984, 37.77 W
2025/04/21 18:33:22.994, 37.77 W
2025/04/21 18:33:23.004, 37.77 W
2025/04/21 18:33:23.014, 37.77 W
2025/04/21 18:33:23.024, 37.77 W
2025/04/21 18:33:23.034, 37.77 W
2025/04/21 18:33:23.045, 37.77 W
2025/04/21 18:33:23.055, 37.77 W
2025/04/21 18:33:23.065, 37.77 W
2025/04/21 18:33:23.075, 42.11 W
2025/04/21 18:33:23.085, 42.11 W
2025/04/21 18:33:23.095, 42.11 W
2025/04/21 18:33:23.105, 42.11 W
2025/04/21 18:33:23.115, 42.11 W
2025/04/21 18:33:23.126, 42.11 W
2025/04/21 18:33:23.136, 42.11 W
2025/04/21 18:33:23.146, 42.11 W
2025/04/21 18:33:23.156, 42.11 W
2025/04/21 18:33:23.166, 42.11 W
2025/04/21 18:33:23.176, 46.01 W
2025/04/21 18:33:23.186, 46.01 W
2025/04/21 18:33:23.196, 46.01 W
2025/04/21 18:33:23.207, 46.01 W
2025/04/21 18:33:23.217, 46.01 W
2025/04/21 18:33:23.227, 46.01 W
2025/04/21 18:33:23.237, 46.01 W
2025/04/21 18:33:23.247, 46.01 W
2025/04/21 18:33:23.257, 46.01 W
2025/04/21 18:33:23.267, 46.01 W
2025/04/21 18:33:23.278, 49.52 W
2025/04/21 18:33:23.288, 49.52 W
2025/04/21 18:33:23.298, 49.52 W
2025/04/21 18:33:23.308, 49.52 W
2025/04/21 18:33:23.318, 49.52 W
2025/04/21 18:33:23.328, 49.52 W
2025/04/21 18:33:23.338, 49.52 W
2025/04/21 18:33:23.348, 49.52 W
2025/04/21 18:33:23.359, 49.52 W
2025/04/21 18:33:23.369, 49.52 W
2025/04/21 18:33:23.379, 76.67 W
2025/04/21 18:33:23.389, 76.67 W
2025/04/21 18:33:23.399, 76.67 W
2025/04/21 18:33:23.409, 76.67 W
2025/04/21 18:33:23.419, 76.67 W
2025/04/21 18:33:23.429, 76.67 W
2025/04/21 18:33:23.440, 76.67 W
2025/04/21 18:33:23.450, 76.67 W
2025/04/21 18:33:23.460, 76.67 W
2025/04/21 18:33:23.470, 79.97 W
2025/04/21 18:33:23.480, 79.97 W
2025/04/21 18:33:23.490, 79.97 W
2025/04/21 18:33:23.500, 79.97 W
2025/04/21 18:33:23.510, 79.97 W
2025/04/21 18:33:23.521, 79.97 W
2025/04/21 18:33:23.531, 79.97 W
2025/04/21 18:33:23.541, 79.97 W
2025/04/21 18:33:23.551, 79.97 W
2025/04/21 18:33:23.561, 79.97 W
2025/04/21 18:33:23.571, 82.77 W
2025/04/21 18:33:23.581, 82.77 W
2025/04/21 18:33:23.592, 82.77 W
2025/04/21 18:33:23.602, 82.77 W
2025/04/21 18:33:23.612, 82.77 W
2025/04/21 18:33:23.622, 82.77 W
