timestamp, power.draw [W]
2025/04/21 18:34:09.113, 37.48 W
2025/04/21 18:34:09.123, 37.48 W
2025/04/21 18:34:09.133, 37.48 W
2025/04/21 18:34:09.143, 37.48 W
2025/04/21 18:34:09.153, 37.48 W
2025/04/21 18:34:09.164, 37.48 W
2025/04/21 18:34:09.174, 37.48 W
2025/04/21 18:34:09.184, 37.48 W
2025/04/21 18:34:09.194, 37.48 W
2025/04/21 18:34:09.204, 37.48 W
2025/04/21 18:34:09.215, 37.48 W
2025/04/21 18:34:09.225, 37.48 W
2025/04/21 18:34:09.235, 37.48 W
2025/04/21 18:34:09.246, 37.48 W
2025/04/21 18:34:09.256, 37.48 W
2025/04/21 18:34:09.266, 37.48 W
2025/04/21 18:34:09.281, 37.48 W
2025/04/21 18:34:09.291, 37.48 W
2025/04/21 18:34:09.301, 37.48 W
2025/04/21 18:34:09.311, 37.48 W
2025/04/21 18:34:09.321, 37.48 W
2025/04/21 18:34:09.332, 37.48 W
2025/04/21 18:34:09.342, 37.48 W
2025/04/21 18:34:09.352, 37.48 W
2025/04/21 18:34:09.362, 37.48 W
2025/04/21 18:34:09.372, 37.48 W
2025/04/21 18:34:09.382, 37.48 W
2025/04/21 18:34:09.392, 37.48 W
2025/04/21 18:34:09.402, 37.48 W
2025/04/21 18:34:09.413, 37.48 W
2025/04/21 18:34:09.423, 37.48 W
2025/04/21 18:34:09.433, 37.48 W
2025/04/21 18:34:09.443, 37.48 W
2025/04/21 18:34:09.453, 37.48 W
2025/04/21 18:34:09.463, 29.01 W
2025/04/21 18:34:09.473, 29.01 W
2025/04/21 18:34:09.483, 29.01 W
2025/04/21 18:34:09.493, 29.01 W
2025/04/21 18:34:09.504, 29.01 W
2025/04/21 18:34:09.514, 29.01 W
2025/04/21 18:34:09.524, 29.01 W
2025/04/21 18:34:09.534, 29.01 W
2025/04/21 18:34:09.544, 29.01 W
2025/04/21 18:34:09.554, 29.01 W
2025/04/21 18:34:09.565, 29.01 W
2025/04/21 18:34:09.576, 28.04 W
