timestamp, power.draw [W]
2025/04/21 18:32:20.384, 28.83 W
2025/04/21 18:32:20.394, 29.42 W
2025/04/21 18:32:20.405, 29.42 W
2025/04/21 18:32:20.415, 29.42 W
2025/04/21 18:32:20.425, 29.42 W
2025/04/21 18:32:20.435, 29.42 W
2025/04/21 18:32:20.445, 29.42 W
2025/04/21 18:32:20.455, 29.42 W
2025/04/21 18:32:20.466, 29.42 W
2025/04/21 18:32:20.476, 29.42 W
2025/04/21 18:32:20.486, 29.42 W
2025/04/21 18:32:20.497, 29.94 W
2025/04/21 18:32:20.507, 29.94 W
2025/04/21 18:32:20.517, 29.94 W
2025/04/21 18:32:20.528, 29.94 W
2025/04/21 18:32:20.538, 29.94 W
2025/04/21 18:32:20.548, 29.94 W
2025/04/21 18:32:20.558, 29.94 W
2025/04/21 18:32:20.569, 29.94 W
2025/04/21 18:32:20.579, 29.94 W
2025/04/21 18:32:20.589, 30.41 W
2025/04/21 18:32:20.599, 30.41 W
2025/04/21 18:32:20.609, 30.41 W
2025/04/21 18:32:20.619, 30.41 W
2025/04/21 18:32:20.630, 30.41 W
2025/04/21 18:32:20.640, 30.41 W
2025/04/21 18:32:20.650, 30.41 W
2025/04/21 18:32:20.660, 30.41 W
2025/04/21 18:32:20.670, 30.41 W
2025/04/21 18:32:20.680, 30.41 W
2025/04/21 18:32:20.690, 30.82 W
2025/04/21 18:32:20.700, 30.82 W
2025/04/21 18:32:20.710, 30.82 W
2025/04/21 18:32:20.721, 30.82 W
2025/04/21 18:32:20.731, 30.82 W
2025/04/21 18:32:20.741, 30.82 W
2025/04/21 18:32:20.751, 30.82 W
2025/04/21 18:32:20.761, 30.82 W
2025/04/21 18:32:20.771, 30.82 W
2025/04/21 18:32:20.781, 30.82 W
2025/04/21 18:32:20.791, 31.19 W
2025/04/21 18:32:20.801, 31.19 W
2025/04/21 18:32:20.812, 31.19 W
2025/04/21 18:32:20.822, 31.19 W
2025/04/21 18:32:20.832, 31.19 W
2025/04/21 18:32:20.848, 31.19 W
2025/04/21 18:32:20.858, 31.19 W
2025/04/21 18:32:20.869, 31.19 W
2025/04/21 18:32:20.879, 31.19 W
2025/04/21 18:32:20.889, 40.11 W
2025/04/21 18:32:20.899, 40.11 W
2025/04/21 18:32:20.909, 40.11 W
2025/04/21 18:32:20.919, 40.11 W
2025/04/21 18:32:20.929, 40.11 W
2025/04/21 18:32:20.940, 40.11 W
2025/04/21 18:32:20.950, 40.11 W
2025/04/21 18:32:20.960, 40.11 W
2025/04/21 18:32:20.970, 40.11 W
2025/04/21 18:32:20.980, 40.11 W
2025/04/21 18:32:20.990, 49.83 W
2025/04/21 18:32:21.000, 49.83 W
2025/04/21 18:32:21.010, 49.83 W
2025/04/21 18:32:21.021, 49.83 W
2025/04/21 18:32:21.031, 49.83 W
2025/04/21 18:32:21.041, 49.83 W
2025/04/21 18:32:21.051, 49.83 W
2025/04/21 18:32:21.061, 49.83 W
2025/04/21 18:32:21.071, 49.83 W
2025/04/21 18:32:21.081, 49.83 W
2025/04/21 18:32:21.091, 55.78 W
2025/04/21 18:32:21.102, 55.78 W
2025/04/21 18:32:21.112, 55.78 W
2025/04/21 18:32:21.122, 55.78 W
2025/04/21 18:32:21.132, 55.78 W
2025/04/21 18:32:21.142, 55.78 W
2025/04/21 18:32:21.152, 55.78 W
2025/04/21 18:32:21.162, 55.78 W
2025/04/21 18:32:21.172, 55.78 W
2025/04/21 18:32:21.183, 55.78 W
2025/04/21 18:32:21.193, 62.72 W
2025/04/21 18:32:21.203, 62.72 W
2025/04/21 18:32:21.213, 62.72 W
2025/04/21 18:32:21.223, 62.72 W
2025/04/21 18:32:21.233, 62.72 W
2025/04/21 18:32:21.243, 62.72 W
2025/04/21 18:32:21.254, 62.72 W
2025/04/21 18:32:21.264, 62.72 W
2025/04/21 18:32:21.274, 62.72 W
2025/04/21 18:32:21.284, 62.72 W
2025/04/21 18:32:21.294, 69.69 W
2025/04/21 18:32:21.304, 69.69 W
2025/04/21 18:32:21.314, 69.69 W
2025/04/21 18:32:21.324, 69.69 W
2025/04/21 18:32:21.334, 69.69 W
2025/04/21 18:32:21.345, 69.69 W
2025/04/21 18:32:21.355, 69.69 W
2025/04/21 18:32:21.365, 69.69 W
2025/04/21 18:32:21.375, 69.69 W
2025/04/21 18:32:21.385, 69.69 W
2025/04/21 18:32:21.395, 76.69 W
2025/04/21 18:32:21.405, 76.69 W
2025/04/21 18:32:21.415, 76.69 W
2025/04/21 18:32:21.426, 76.69 W
2025/04/21 18:32:21.436, 76.69 W
2025/04/21 18:32:21.446, 76.69 W
